bedroom,bathrooms,area,furnishing,avalable_for,address,floor_number,facing,floor_type,gate_community,corner_pro,parking,wheelchairadption,petfacility,aggDur,noticeDur,lightbill,powerbackup,propertyage,no_room,pooja_room,study_room,others,servant_room,store_room,maintenance_amt,brok_amt,deposit_amt,mnt_amt,rent
3,3,0,Furnished,All,"Swojas Crystal Bay, Kalyani Nagar, , Pune, Maharashtra",2,East,Vitrified,No,No,1,None,None,0,0,0,2,5 to 10 Year Old,1,0,0,0,0,0,0,50000,250000,0,48000
2,2,0,Semifurnished,All,"RK Lunkad Nisarg Raj, Dange Chowk, , Pune, Maharashtra",7,East,Vitrified,Yes,No,1,Yes,None,0,0,0,1,5 to 10 Year Old,0,0,0,1,0,0,0,0,45000,0,17000
1,1,0,Unfurnished,Family Only,"Darshana Apartment, Vishrantwadi, , Pune, Maharashtra",2,No Direction,Not provided,Yes,No,1,None,None,0,0,1,0,5 to 10 Year Old,1,0,0,0,0,0,0,0,25000,0,11000
2,2,0,Semifurnished,All,"Manjari Budruk, , Pune, Maharashtra",0,East,Not provided,No,No,0,None,None,0,0,0,0,1 to 5 Year Old,1,0,0,0,0,0,0,0,2,0,10000
2,2,750,Unfurnished,Family Only,"Vishwa Vinayak Florencia, Kaspate Vasti, , Pune, Maharashtra",1,East,Granite,Yes,No,1,None,None,22,1,0,2,5 to 10 Year Old,1,0,0,0,0,0,0,0,75000,0,19000
2,2,1300,Unfurnished,All,"Shirine Garden, Aundh, , Pune, Maharashtra",3,No Direction,Not provided,No,No,1,None,None,0,0,1,0,5 to 10 Year Old,1,0,0,0,0,0,0,0,0,0,42000
2,2,1250,Furnished,All,"Jeenesha Residency, Ambegaon, , Pune, Maharashtra",2,South,Vitrified,Yes,Yes,1,Yes,Yes,1,1,0,1,5 to 10 Year Old,0,1,1,0,1,1,0,20000,3,0,20000
1,1,420,Unfurnished,All,"Bhawani Park, Aundh, , Pune, Maharashtra",1,South,Vitrified,Yes,No,1,None,Yes,11,1,0,1,1 to 5 Year Old,0,0,0,1,0,0,Maintenance 1/ ((one time fee,1,20000,1,11000
1,1,500,Semifurnished,All,"House no 33, Shramasafalya colony, Karvenagar, , Pune, Maharashtra",0,No Direction,Granite,Yes,No,2,None,None,11,1,0,0,1 to 5 Year Old,1,0,0,0,0,0,Maintenance 200/ (/ month,0,25000,200,8500
1,1,0,Unfurnished,Family Only,"Shubhankar Residency, Thergaon, , Pune, Maharashtra",1,No Direction,Vitrified,Yes,No,1,None,Yes,11,0,1,0,1 to 5 Year Old,1,0,0,0,0,0,0,0,30000,0,12000
1,1,0,Unfurnished,Family Only,"Dhayari, , Pune, Maharashtra",3,No Direction,Not provided,No,No,1,None,None,0,0,0,0,5 to 10 Year Old,1,0,0,0,0,0,0,0,20000,0,7000
2,2,911,Semifurnished,Family Only,"Shrushti Enclave, Baner, , Pune, Maharashtra",3,East,Vitrified,No,No,0,None,None,11,2,0,0,5 to 10 Year Old,1,0,0,0,0,0,0,0,60000,0,21000
2,2,600,Unfurnished,All,"Nandanvan heights, paud road, , Pune, Maharashtra",4,East,Vitrified,No,Yes,1,Yes,Yes,11,1,1,0,0 to 1 Year Old,1,0,0,0,0,0,0,0,20000,0,10000
2,2,0,Semifurnished,Family Only,"Shagun Nisarg Soc., Bavdhan, , Pune, Maharashtra",5,East,Vitrified,Yes,No,1,None,Yes,0,0,0,1,5 to 10 Year Old,1,0,0,0,0,0,0,20000,75000,0,21000
3,3,0,Semifurnished,Family Only,"GPC, Near Om Super Market, , Pune, Maharashtra",5,No Direction,Vitrified,Yes,No,1,None,None,12,1,0,2,5 to 10 Year Old,1,0,0,0,0,0,0,80000,216000,0,54000
1,1,0,Semifurnished,All,"Nalini CHS, Camp, , Pune, Maharashtra",1,South,Ceramic,No,No,1,None,None,36,2,0,2,10+ Year Old,1,0,0,0,0,0,Maintenance 1500/ (/ month,0,50000,1500,18000
1,1,650,Furnished,"Family , Bachelors (Men Only)","Digambar Nagar, , Pune, Maharashtra",0,West,Others,No,No,2,None,None,11,1,0,0,10+ Year Old,1,0,0,0,0,0,0,0,30000,0,11000
2,2,921,Unfurnished,All,"Ravi Garden, Manjri, , Pune, Maharashtra",0,East,Vitrified,Yes,Yes,1,None,None,11,1,0,2,0 to 1 Year Old,0,0,0,1,0,0,0,17000,3,0,17000
